# TOTAL_GENES = 18183
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cer.InN.1        SET    1036     0.061678     0.014297     0.038437     0.054296
Cer.RG.1         SET    1104    -0.047544    -0.011354     0.037682      0.89647
Cer.RG.2         SET    1092    -0.032345   -0.0076851     0.037258      0.80733
Cer.ExN.1        SET    1011     0.085107     0.019503     0.039169     0.014904
Cer.InN.2        SET     918     0.084015     0.018395     0.040323     0.018609
Cer.InN.3        SET    1011   -0.0025748  -0.00059002     0.038637      0.52657
Cer.InN.5        SET     884      0.10076      0.02167     0.041473    0.0075666
Cer.IP           SET     900    0.0026174   0.00056773     0.041241       0.4747
Cer.ExN.2        SET     891     0.038596    0.0083321     0.041788      0.17785
Cer.RG.3         SET    1079    -0.075178    -0.017762     0.038021      0.97599
Cer.ExN.3        SET     974     0.043974    0.0099015      0.03992      0.13534
Cer.ExN.4        SET     880    -0.077021     -0.01653     0.041817      0.96724
Cer.CycPro       SET    1172     -0.07962    -0.019552     0.035954       0.9866
Cer.InN.6        SET     909      0.14569     0.031752     0.040031   0.00013706
Cer.InN.4        SET     985     0.018865    0.0042702      0.03827      0.31104
Cer.InN.7        SET    1016     0.086144     0.019786     0.038163     0.012003
Cer.OPC          SET     867     0.012567     0.002678     0.040768      0.37895
Cer.ExN.5        SET     860      -0.1551    -0.032925      0.04166       0.9999
Cer.InN.8        SET     788   -0.0050711   -0.0010326     0.043396      0.54651
Cer.Endo         SET     995     -0.12439    -0.028292     0.038418       0.9994
Cer.MG           SET     941     -0.13266    -0.029389     0.039982      0.99955
