# TOTAL_GENES = 18183
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE         TYPE  NGENES         BETA     BETA_STD           SE            P
Hipp.ExN.1        SET    1036      0.10712     0.024831     0.038558    0.0027373
Hipp.CR.1         SET    1075     0.095482      0.02252     0.039041     0.007235
Hipp.RG.1         SET    1083    -0.053038    -0.012553     0.037934      0.91896
Hipp.RG.2         SET    1099    -0.071709    -0.017089     0.037611       0.9717
Hipp.ExN.2        SET    1001     0.056038     0.012782     0.038855     0.074628
Hipp.InN.1        SET     951     0.074933     0.016683      0.03927     0.028197
Hipp.ExN.3        SET    1128      0.13341     0.032181     0.036951   0.00015338
Hipp.InN.2        SET    1017     0.078662     0.018076     0.038337     0.020102
Hipp.CycPro       SET    1086    -0.058306    -0.013818      0.03679      0.94349
Hipp.InN.3        SET     927     0.091564     0.020141     0.040372     0.011672
Hipp.CR.2         SET     892    -0.089401     -0.01931     0.041316      0.98475
Hipp.ExN.4        SET     927     0.019332    0.0042524     0.039177      0.31085
Hipp.ExN.5        SET    1035      0.10655     0.024688     0.038676     0.002938
Hipp.RG.3         SET    1002    -0.005053   -0.0011531     0.039219      0.55126
Hipp.InN.4        SET     767     0.039252    0.0078901     0.043973      0.18603
Hipp.OPC          SET     842     0.036381    0.0076456     0.041268      0.18901
Hipp.ExN.6        SET     911      0.10867     0.023707     0.040323    0.0035244
Hipp.MG           SET     816     -0.10811    -0.022384     0.042205      0.99479
Hipp.Endo         SET     816     -0.13186      -0.0273     0.042713      0.99899
