# MEAN_SAMPLE_SIZE = 46350
# TOTAL_GENES = 18047
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cer.InN.1        SET    1030     0.029675    0.0068844     0.030579      0.16592
Cer.RG.1         SET    1101    -0.036325   -0.0086944     0.029389      0.89176
Cer.RG.2         SET    1090   -0.0082243   -0.0019593     0.029781      0.60878
Cer.ExN.1        SET    1009     0.022926    0.0052674     0.030693      0.22755
Cer.InN.2        SET     916     0.029082    0.0063837     0.032211      0.18331
Cer.InN.3        SET    1006    0.0032758   0.00075158     0.030521      0.45726
Cer.InN.5        SET     883     0.048426     0.010447     0.031582     0.062607
Cer.IP           SET     897    -0.021404   -0.0046519     0.032645      0.74397
Cer.ExN.2        SET     889    0.0040619   0.00087906     0.032172      0.44977
Cer.RG.3         SET    1076    -0.011508   -0.0027249     0.029325      0.65263
Cer.ExN.3        SET     971     0.013777    0.0031085     0.031244      0.32963
Cer.ExN.4        SET     879     0.015082    0.0032466     0.032994      0.32379
Cer.CycPro       SET    1168    -0.011855   -0.0029168     0.028055      0.66369
Cer.InN.6        SET     905    0.0049651    0.0010837     0.031964      0.43828
Cer.InN.4        SET     981     0.057542     0.013047     0.030932     0.031435
Cer.InN.7        SET    1012     0.034778    0.0080015     0.030299      0.12553
Cer.OPC          SET     865      0.04774     0.010198     0.032986     0.073922
Cer.ExN.5        SET     855     0.024256    0.0051531     0.032601      0.22844
Cer.InN.8        SET     787    -0.022843   -0.0046652      0.03326      0.75389
Cer.Endo         SET     995    -0.025661    -0.005857      0.03077      0.79784
Cer.MG           SET     935    -0.019639   -0.0043529     0.031266      0.73503
