# MEAN_SAMPLE_SIZE = 46350
# TOTAL_GENES = 18047
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
FC.ExN.1         SET     913   -0.0094392   -0.0020687     0.032482      0.61432
FC.ExN.2         SET    1211     0.038973    0.0097513     0.028357     0.084675
FC.ExN.3         SET    1099     0.032083    0.0076725       0.0291      0.13513
FC.RG.1          SET    1118    -0.050952    -0.012283     0.029265      0.95915
FC.ExN.4         SET    1181     0.075461     0.018662     0.028622    0.0041929
FC.InN.1         SET     804    0.0057748    0.0011915      0.03387      0.43231
FC.InN.2         SET     840     0.033807    0.0071222     0.032743      0.15093
FC.ExN.5         SET    1175     0.074607     0.018407     0.029296    0.0054428
FC.CycPro        SET    1177    0.0013628    0.0003365     0.028477      0.48092
FC.IP            SET     796     0.022542    0.0046288     0.033353      0.24957
FC.InN.3         SET     761    0.0088245    0.0017735     0.034163      0.39809
FC.N.undef       SET     942      0.01114    0.0024778     0.031714       0.3627
FC.RG.2          SET     880    -0.060813    -0.013098     0.031727      0.97236
FC.InN.4         SET     747     0.004148   0.00082628     0.034719      0.45245
FC.Endo          SET    1038    -0.041491   -0.0096604     0.030249       0.9149
FC.OPC           SET     648   -0.0019081  -0.00035503     0.037825      0.52012
FC.MG            SET     836    -0.015186   -0.0031919     0.032804      0.67829
