# TOTAL_GENES = 18094
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = bryois_exDG (set)
VARIABLE           TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
bryois_exDG         SET      1    1321      0.10171     0.026462     0.032293   0.00081869
FC_ExN_2            SET      1    1209      0.20027     0.050011     0.033975   1.9143e-09
bryois_exDG         SET      2    1321      0.11961     0.031117     0.032045    9.515e-05
FC_ExN_3            SET      2    1094      0.14574     0.034736     0.034998    1.571e-05
bryois_exDG         SET      3    1321      0.11491     0.029894     0.032266   0.00018506
FC_ExN_4            SET      3    1180       0.1176     0.029038     0.034049   0.00027698
bryois_exDG         SET      4    1321      0.11348     0.029522     0.032496   0.00024033
FC_ExN_5            SET      4    1174      0.10183     0.025084     0.035267    0.0019446
bryois_exDG         SET      5    1321      0.12764     0.033206     0.031951    3.252e-05
FC_InN_1            SET      5     794      0.14617     0.029942     0.040744   0.00016741
bryois_exDG         SET      6    1321      0.12649     0.032908     0.031965   3.8072e-05
GE_InN_1            SET      6    1114      0.11349      0.02728     0.033617   0.00036866
bryois_exDG         SET      7    1321      0.12901     0.033562     0.031939   2.6949e-05
GE_InN_2            SET      7    1026      0.14039     0.032471     0.035219   3.3709e-05
bryois_exDG         SET      8    1321      0.12009     0.031242     0.032159   9.4458e-05
Hipp_ExN_3          SET      8    1122     0.097922     0.023617     0.034222    0.0021119
bryois_exDG         SET      9    1321      0.11914     0.030994     0.032248   0.00011058
Hipp_ExN_5          SET      9    1027     0.094567     0.021882     0.036037    0.0043477
bryois_exDG         SET     10    1321      0.11696     0.030428     0.032262   0.00014479
Thal_ExN_1          SET     10    1262      0.10089     0.025699     0.033232    0.0012009
bryois_exDG         SET     11    1321        0.123        0.032     0.031998   6.0753e-05
Thal_ExN_3          SET     11    1153       0.1254     0.030632     0.032236   5.0299e-05
bryois_exDG         SET     12    1321      0.12517     0.032565     0.031993   4.5874e-05
skene_InN           SET     12    1325     0.096442     0.025125     0.031381    0.0010607
bryois_exDG         SET     13    1321      0.10702     0.027842       0.0323   0.00046197
skene_MSN           SET     13    1355      0.15301     0.040275     0.031581   6.3901e-07
bryois_exDG         SET     14    1321     0.099344     0.025845     0.032597    0.0011551
skene_CA1           SET     14    1357      0.15394     0.040546     0.032229   9.0097e-07
bryois_exDG         SET     15    1321      0.10725     0.027902     0.032412   0.00046926
skene_SS            SET     15    1360      0.13318     0.035114     0.031492   1.1809e-05
bryois_exDG         SET     16    1321      0.10674      0.02777     0.033157   0.00064365
bryois_exCA1        SET     16    1329     0.087309     0.022777     0.032363    0.0034935
bryois_exDG         SET     17    1321      0.11363     0.029561     0.033035   0.00029202
bryois_exCA3        SET     17    1337     0.066426     0.017377     0.032683     0.021064
bryois_exDG         SET     18    1321      0.11611     0.030207     0.032671   0.00019033
bryois_exPFC1       SET     18    1347     0.069589     0.018267     0.032594     0.016388
