# TOTAL_GENES = 18094
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = bryois_exCA3 (set)
VARIABLE           TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
bryois_exCA3        SET      1    1337     0.066885     0.017497      0.03192     0.018077
FC_ExN_2            SET      1    1209      0.20625     0.051504     0.033943   6.2886e-10
bryois_exCA3        SET      2    1337     0.080848      0.02115     0.031782    0.0054879
FC_ExN_3            SET      2    1094      0.14711     0.035063     0.035084   1.3841e-05
bryois_exCA3        SET      3    1337      0.07977     0.020868     0.031884    0.0061818
FC_ExN_4            SET      3    1180      0.12359     0.030517     0.034008   0.00013987
bryois_exCA3        SET      4    1337     0.080897     0.021163     0.031915    0.0056318
FC_ExN_5            SET      4    1174      0.11219     0.027635     0.035009   0.00067792
bryois_exCA3        SET      5    1337     0.092944     0.024314     0.031612    0.0016426
FC_InN_1            SET      5     794      0.14837     0.030391     0.040746   0.00013608
bryois_exCA3        SET      6    1337     0.091021     0.023811      0.03163    0.0020058
GE_InN_1            SET      6    1114      0.11511     0.027669     0.033623   0.00030987
bryois_exCA3        SET      7    1337     0.090396     0.023648     0.031626    0.0021329
GE_InN_2            SET      7    1026      0.13854     0.032043      0.03525   4.2598e-05
bryois_exCA3        SET      8    1337     0.087921        0.023     0.031693    0.0027708
Hipp_ExN_3          SET      8    1122      0.10584     0.025527     0.034089   0.00095375
bryois_exCA3        SET      9    1337     0.084342     0.022064     0.031838    0.0040393
Hipp_ExN_5          SET      9    1027      0.10144     0.023472     0.035962    0.0023989
bryois_exCA3        SET     10    1337     0.080761     0.021127     0.031924    0.0057121
Thal_ExN_1          SET     10    1262      0.10602     0.027007     0.033238   0.00071313
bryois_exCA3        SET     11    1337      0.09251     0.024201     0.031609    0.0017155
Thal_ExN_3          SET     11    1153      0.13124     0.032057     0.032187   2.2891e-05
bryois_exCA3        SET     12    1337     0.090737     0.023737     0.031639    0.0020689
skene_InN           SET     12    1325      0.09951     0.025924     0.031367    0.0007574
bryois_exCA3        SET     13    1337     0.076628     0.020046     0.031799    0.0079868
skene_MSN           SET     13    1355      0.16026     0.042182     0.031425   1.7215e-07
bryois_exCA3        SET     14    1337     0.060997     0.015957     0.032325     0.029593
skene_CA1           SET     14    1357      0.16084     0.042363     0.032305   3.2356e-07
bryois_exCA3        SET     15    1337     0.076018     0.019886     0.031879    0.0085559
skene_SS            SET     15    1360      0.14114     0.037213     0.031308   3.2951e-06
bryois_exCA3        SET     16    1337     0.058321     0.015257     0.034336     0.044714
bryois_exCA1        SET     16    1329      0.09276     0.024199     0.033875    0.0030912
bryois_exCA3        SET     17    1337     0.066426     0.017377     0.032683     0.021064
bryois_exDG         SET     17    1321      0.11363     0.029561     0.033035   0.00029202
bryois_exCA3        SET     18    1337     0.078315     0.020487     0.032412    0.0078464
bryois_exPFC1       SET     18    1347     0.076418      0.02006     0.032684    0.0096972
