# TOTAL_GENES = 18094
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_VARIABLES = FC_ExN_2 (set)
VARIABLE           TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
FC_ExN_2            SET      1    1209        0.186     0.046448      0.03656   1.8334e-07
FC_ExN_3            SET      1    1094     0.080298     0.019139     0.037952     0.017189
FC_ExN_2            SET      2    1209      0.19321     0.048246     0.035858   3.6126e-08
FC_ExN_4            SET      2    1180     0.066897     0.016518     0.035967     0.031456
FC_ExN_2            SET      3    1209      0.19877     0.049636     0.034715   5.2402e-09
FC_ExN_5            SET      3    1174      0.07255     0.017871      0.03581     0.021393
FC_ExN_2            SET      4    1209      0.21742     0.054294     0.033575   4.8566e-11
FC_InN_1            SET      4     794      0.15232       0.0312     0.040696   9.1335e-05
FC_ExN_2            SET      5    1209      0.20969     0.052361     0.033651   2.3742e-10
GE_InN_1            SET      5    1114      0.10493     0.025223     0.033639   0.00090775
FC_ExN_2            SET      6    1209      0.21182     0.052895     0.033596   1.4806e-10
GE_InN_2            SET      6    1026      0.13405     0.031004     0.035214   7.0661e-05
FC_ExN_2            SET      7    1209       0.2047     0.051115     0.033944   8.3651e-10
Hipp_ExN_3          SET      7    1122      0.08253     0.019905     0.034335    0.0081209
FC_ExN_2            SET      8    1209      0.20327      0.05076      0.03434   1.6505e-09
Hipp_ExN_5          SET      8    1027     0.067736     0.015673     0.036476     0.031666
FC_ExN_2            SET      9    1209      0.20006     0.049958     0.034364    2.967e-09
Thal_ExN_1          SET      9    1262     0.076298     0.019435     0.033645     0.011679
FC_ExN_2            SET     10    1209      0.20277     0.050633     0.033823    1.041e-09
Thal_ExN_3          SET     10    1153      0.10967     0.026788     0.032389   0.00035557
FC_ExN_2            SET     11    1209      0.20784     0.051901     0.033737   3.7138e-10
skene_InN           SET     11    1325     0.084735     0.022075     0.031454    0.0035347
FC_ExN_2            SET     12    1209      0.20286     0.050657      0.03368   8.7422e-10
skene_MSN           SET     12    1355      0.15316     0.040314       0.0313   5.0062e-07
FC_ExN_2            SET     13    1209      0.19289     0.048166     0.033963   6.8821e-09
skene_CA1           SET     13    1357      0.14611     0.038483     0.031918   2.3709e-06
FC_ExN_2            SET     14    1209      0.19686     0.049159     0.033937   3.3643e-09
skene_SS            SET     14    1360      0.12441     0.032802     0.031342    3.619e-05
FC_ExN_2            SET     15    1209      0.20318     0.050736     0.033914   1.0656e-09
bryois_exCA1        SET     15    1329     0.088859     0.023182     0.031464     0.002373
FC_ExN_2            SET     16    1209      0.20625     0.051504     0.033943   6.2886e-10
bryois_exCA3        SET     16    1337     0.066885     0.017497      0.03192     0.018077
FC_ExN_2            SET     17    1209      0.20027     0.050011     0.033975   1.9143e-09
bryois_exDG         SET     17    1321      0.10171     0.026462     0.032293   0.00081869
FC_ExN_2            SET     18    1209      0.20614     0.051476     0.034003   6.8644e-10
bryois_exPFC1       SET     18    1347     0.063255     0.016604     0.032245     0.024907
